lnr,forening,name,kommune,year,tonnes,method,lime,nve_nr,utm33_north,utm33_east,lat,lon
1992,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2015,10.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
1993,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2018,8.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
1994,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2019,9.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
1995,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2020,9.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
1996,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2021,9.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
1980,Kyllandsvann Grunneierfor.,Kyllandsvann,Birkenes,2022,9.0,Båt,Kalksteinmel,10610,6503014,107824,58.4906,8.26592
2118,Stigselv Fiskelag,Langvann,Birkenes,2001,13.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2119,Stigselv Fiskelag,Langvann,Birkenes,2002,13.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2120,Stigselv Fiskelag,Langvann,Birkenes,2003,15.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2121,Stigselv Fiskelag,Langvann,Birkenes,2004,15.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2122,Stigselv Fiskelag,Langvann,Birkenes,2005,11.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2123,Stigselv Fiskelag,Langvann,Birkenes,2011,11.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2124,Stigselv Fiskelag,Langvann,Birkenes,2015,10.0,Båt,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2125,Stigselv Fiskelag,Langvann,Birkenes,2019,8.0,Helikopter,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2126,Stigselv Fiskelag,Langvann,Birkenes,2020,8.0,Helikopter,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2127,Stigselv Fiskelag,Langvann,Birkenes,2021,8.0,Helikopter,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2106,Stigselv Fiskelag,Langvann,Birkenes,2022,8.0,Helikopter,Kalksteinmel,10908,6492444,110092,58.3983,8.32254
2386,Øvre Nidelv Fiskelag,Mjonevatn,Åmli,2001,15.6,Båt,Kalksteinmel,9407,6526303,129418,58.7173,8.59594
2387,Øvre Nidelv Fiskelag,Mjonevatn,Åmli,2003,15.0,Båt,Kalksteinmel,9407,6526303,129418,58.7173,8.59594
2388,Øvre Nidelv Fiskelag,Mjonevatn,Åmli,2007,20.0,Båt,Kalksteinmel,9407,6526303,129418,58.7173,8.59594
4279,Ufsvann Fiskarlag,Vålevatn,Vegårdshei,2000,6.7,Båt,Kalksteinmel,9200,6529634,132431,58.7496,8.6422
3539,Stråndevatn Fiskelag,Stråndevatn,Bygland,1997,7.0,Båt,Kalksteinmel,8195,6552248,85398,58.9086,7.79371
3540,Stråndevatn Fiskelag,Stråndevatn,Bygland,1998,7.0,Båt,Kalksteinmel,8195,6552248,85398,58.9086,7.79371
3541,Stråndevatn Fiskelag,Stråndevatn,Bygland,1999,7.0,Båt,Kalksteinmel,8195,6552248,85398,58.9086,7.79371
2419,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2001,28.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2420,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2003,15.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2421,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2005,13.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2422,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2007,15.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2423,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2010,15.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2424,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2012,20.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2425,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2013,42.2,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2426,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2015,15.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2427,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2017,5.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2428,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2018,10.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2429,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2019,10.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2430,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2020,10.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2431,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2021,10.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2389,Gjerstad JFF - Aust-Agder,Mjåvatn i G.stad,Gjerstad,2022,8.0,Båt,Kalksteinmel,8237,6545299,149903,58.904,8.91786
2896,Hinnebu Sportsfiskere,Rosævatnet,Froland,1985,8.0,Båt,Kalksteinmel,10210,6511877,120514,58.5809,8.46743
2900,Hinnebu Sportsfiskere,Rosævatnet,Froland,1997,8.0,Båt,Kalksteinmel,10210,6511877,120514,58.5809,8.46743
874,Uråna Fiskelag,Gangvatn,Arendal,1998,8.0,Båt,Kalksteinmel,10636,6501036,122118,58.4855,8.51279
2730,Oksetjønn og Skarketjønn FL,Okstjørn,Valle,2000,8.4,Helikopter,Kalksteinmel,15041,6573409,81655,59.0935,7.68919
4278,Ufsvann Fiskarlag,Vålevatn,Vegårdshei,1999,9.0,Båt,Kalksteinmel,9200,6529634,132431,58.7496,8.6422
3542,Stråndevatn Fiskelag,Stråndevatn,Bygland,2000,9.6,Båt,Kalksteinmel,8195,6552248,85398,58.9086,7.79371
